date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:20	332707/332707	---M--	200	added ('OK')	image/png	etag:%225dfb3ac8-513a3%22	https://echo.co/sites/default/files/styles/677wide/public/2019-04/Echo%26Confetti.png?itok=gpHfmUIp	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/677wide/public/2019-04/Echo&Confetti4578.png	(from https://echo.co/)
18:15:20	11718/11718	---M--	200	added ('OK')	image/png	etag:%225dfb3ac8-2dc6%22	https://echo.co/sites/default/files/inline-images/2018-B-Corp-wTag-S.png	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/inline-images/2018-B-Corp-wTag-S.png	(from https://echo.co/)
18:15:20	67811/67811	---M-Z	200	added ('OK')	text/html	etag:W/%221695831424%22	https://echo.co/advice/making-better-choices-about-digital	C:/My%20Web%20Sites/echo.co/echo.co/advice/making-better-choices-about-digital.html	(from https://echo.co/)
18:15:20	39207/39207	---M--	200	added ('OK')	image/jpeg	etag:%225dfb3ac8-9927%22	https://echo.co/sites/default/files/styles/470x376/public/2019-10/newseum.jpg?itok=57sMQiZ5	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/470x376/public/2019-10/newseum931d.jpg	(from https://echo.co/)
18:15:20	60880/60880	---M--	200	added ('OK')	image/jpeg	etag:%225dfb3ac8-edd0%22	https://echo.co/sites/default/files/styles/677wide/public/2019-10/newseum.jpg?itok=tMB7fvhx	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/677wide/public/2019-10/newseum5fec.jpg	(from https://echo.co/)
18:15:21	9371/9371	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22653013b7-249b%22	https://echo.co/themes/custom/squares/img/illo_userCentric.svg	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/img/illo_userCentric.svg	(from https://echo.co/)
18:15:21	11276/11276	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22652bab10-2c0c%22	https://echo.co/themes/custom/squares/img/illo_continuedWork.svg	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/img/illo_continuedWork.svg	(from https://echo.co/)
18:15:21	7512/7512	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265250425-1d58%22	https://echo.co/themes/custom/squares/img/illo_publishTeach.svg	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/img/illo_publishTeach.svg	(from https://echo.co/)
18:15:21	55777/55777	---M-Z	200	added ('OK')	text/html	etag:W/%221695831797%22	https://echo.co/privacy-policy	C:/My%20Web%20Sites/echo.co/echo.co/privacy-policy.html	(from https://echo.co/)
18:15:22	282333/282333	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2265130c02-44edd%22	https://echo.co/sites/default/files/js/js_1QdpnHx0CfSG-jEjBZlV4rEy60McVKH9-ZpifKiOmDo.js	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/js/js_1QdpnHx0CfSG-jEjBZlV4rEy60McVKH9-ZpifKiOmDo.js	(from https://echo.co/)
18:15:22	35912/35912	---M--	200	added ('OK')	font/woff2	etag:%22651c341e-8c48%22	https://echo.co/themes/custom/squares/fonts/biro/biro-webfont.woff2	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/fonts/biro/biro-webfont.woff2	(from https://echo.co/sites/default/files/css/css_SKxFsByyM0WlsF9ywDYoIk1CR9cpOflv_17VZWGQb2E.css)
18:15:22	41752/41752	---M--	200	added ('OK')	font/woff	etag:%226543d51d-a318%22	https://echo.co/themes/custom/squares/fonts/biro/biro-webfont.woff	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/fonts/biro/biro-webfont.woff	(from https://echo.co/sites/default/files/css/css_SKxFsByyM0WlsF9ywDYoIk1CR9cpOflv_17VZWGQb2E.css)
18:15:22	1685/1685	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22653ba527-695%22	https://echo.co/themes/custom/squares/css/svg/sprite.css-1712a692.svg	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/css/svg/sprite.css-1712a692.svg	(from https://echo.co/sites/default/files/css/css_SKxFsByyM0WlsF9ywDYoIk1CR9cpOflv_17VZWGQb2E.css)
18:15:23	221/221	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22653ba527-dd%22	https://echo.co/themes/custom/squares/img/dot-pattern.svg	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/img/dot-pattern.svg	(from https://echo.co/sites/default/files/css/css_SKxFsByyM0WlsF9ywDYoIk1CR9cpOflv_17VZWGQb2E.css)
18:15:23	200/200	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22651c341e-c8%22	https://echo.co/themes/custom/squares/img/caret_down.svg	C:/My%20Web%20Sites/echo.co/echo.co/themes/custom/squares/img/caret_down.svg	(from https://echo.co/sites/default/files/css/css_SKxFsByyM0WlsF9ywDYoIk1CR9cpOflv_17VZWGQb2E.css)
